,DIA,AÑO,SEMANA,MES,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,PROVINCIA_ORIGEN,PROVINCIA_DESTINO,INTERPROVINCIAL
13578,2019-09-01,2019,35,9,es,Talavera de la Reina,Almansa,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8014,2017-11-01,2017,44,11,es,Talavera de la Reina,Toledo,18.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8044,2017-12-06,2017,49,12,es,Talavera de la Reina,Toledo,11.0,2,5,2,5,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11236,2017-12-06,2017,49,12,es,Talavera de la Reina,Ciudad Real,6.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
20041,2017-12-06,2017,49,12,es,Talavera de la Reina,Daimiel,3.0,3,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8046,2017-12-08,2017,49,12,es,Talavera de la Reina,Toledo,21.0,3,10,2,9,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11238,2017-12-08,2017,49,12,es,Talavera de la Reina,Ciudad Real,7.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
18267,2017-12-08,2017,49,12,es,Talavera de la Reina,Alcázar de San Juan,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8059,2017-12-25,2017,52,12,es,Talavera de la Reina,Toledo,41.0,2,16,1,16,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8064,2018-01-01,2018,1,1,es,Talavera de la Reina,Toledo,32.0,2,12,1,12,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
19348,2018-03-29,2018,13,3,es,Talavera de la Reina,Tarancón,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Cuenca,No
8127,2018-03-30,2018,13,3,es,Talavera de la Reina,Toledo,12.0,3,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8150,2018-05-01,2018,18,5,es,Talavera de la Reina,Toledo,40.0,3,18,3,18,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
2024,2018-08-15,2018,33,8,es,Talavera de la Reina,Albacete,9.0,1,4,1,4,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8274,2018-10-12,2018,41,10,es,Talavera de la Reina,Toledo,26.0,4,11,2,10,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
20141,2018-10-12,2018,41,10,es,Talavera de la Reina,Ossa de Montiel,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8292,2018-11-01,2018,44,11,es,Talavera de la Reina,Toledo,18.0,2,8,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8323,2018-12-06,2018,49,12,es,Talavera de la Reina,Toledo,26.0,3,11,3,10,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11372,2018-12-06,2018,49,12,es,Talavera de la Reina,Ciudad Real,7.0,2,4,2,3,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
19892,2018-12-06,2018,49,12,es,Talavera de la Reina,Socuéllamos,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
9947,2018-12-08,2018,49,12,es,Talavera de la Reina,Manzanares,4.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8337,2018-12-25,2018,52,12,es,Talavera de la Reina,Toledo,44.0,3,20,2,20,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11382,2018-12-25,2018,52,12,es,Talavera de la Reina,Ciudad Real,5.0,2,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
2063,2019-01-01,2019,1,1,es,Talavera de la Reina,Albacete,3.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8447,2019-05-01,2019,18,5,es,Talavera de la Reina,Toledo,6.0,2,4,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
20257,2019-05-01,2019,18,5,es,Talavera de la Reina,Madridejos,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8521,2019-08-15,2019,33,8,es,Talavera de la Reina,Toledo,27.0,3,11,2,11,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8568,2019-10-12,2019,41,10,es,Talavera de la Reina,Toledo,12.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8193,2018-06-25,2018,26,6,es,Talavera de la Reina,Toledo,28.0,2,10,2,10,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8244,2018-09-08,2018,36,9,es,Talavera de la Reina,Toledo,11.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
19764,2018-09-08,2018,36,9,es,Talavera de la Reina,Puertollano,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8536,2019-09-08,2019,36,9,es,Talavera de la Reina,Toledo,25.0,1,9,1,9,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
15485,2019-09-08,2019,36,9,es,Talavera de la Reina,Cuenca,2.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Cuenca,No
2000,2018-05-03,2018,18,5,es,Talavera de la Reina,Albacete,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8284,2018-10-24,2018,43,10,es,Talavera de la Reina,Toledo,37.0,1,14,1,14,3,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11356,2018-10-24,2018,43,10,es,Talavera de la Reina,Ciudad Real,3.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
2101,2019-05-03,2019,18,5,es,Talavera de la Reina,Albacete,18.0,3,8,2,8,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8449,2019-05-03,2019,18,5,es,Talavera de la Reina,Toledo,61.0,5,24,3,24,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8580,2019-10-24,2019,43,10,es,Talavera de la Reina,Toledo,54.0,3,22,3,22,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11492,2019-10-24,2019,43,10,es,Talavera de la Reina,Ciudad Real,10.0,2,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
18356,2019-10-24,2019,43,10,es,Talavera de la Reina,Alcázar de San Juan,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
1980,2018-02-16,2018,7,2,es,Talavera de la Reina,Albacete,13.0,3,6,3,6,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8096,2018-02-16,2018,7,2,es,Talavera de la Reina,Toledo,48.0,4,23,4,23,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11265,2018-02-16,2018,7,2,es,Talavera de la Reina,Ciudad Real,11.0,4,6,2,6,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
14618,2018-02-16,2018,7,2,es,Talavera de la Reina,Tomelloso,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
18279,2018-02-16,2018,7,2,es,Talavera de la Reina,Alcázar de San Juan,2.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8234,2018-08-17,2018,33,8,es,Talavera de la Reina,Toledo,65.0,3,23,3,22,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11332,2018-08-17,2018,33,8,es,Talavera de la Reina,Ciudad Real,5.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
18301,2018-08-17,2018,33,8,es,Talavera de la Reina,Alcázar de San Juan,14.0,1,5,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8382,2019-02-16,2019,7,2,es,Talavera de la Reina,Toledo,24.0,3,9,3,8,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
2001,2018-05-04,2018,18,5,es,Talavera de la Reina,Albacete,8.0,2,3,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8151,2018-05-04,2018,18,5,es,Talavera de la Reina,Toledo,41.0,7,17,4,17,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11298,2018-05-04,2018,18,5,es,Talavera de la Reina,Ciudad Real,14.0,3,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
272,2019-09-03,2019,36,9,es,Talavera de la Reina,Guadalajara,3.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Guadalajara,No
5586,2019-09-03,2019,36,9,es,Talavera de la Reina,Villarrobledo,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8531,2019-09-03,2019,36,9,es,Talavera de la Reina,Toledo,35.0,3,14,3,13,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11475,2019-09-03,2019,36,9,es,Talavera de la Reina,Ciudad Real,9.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8094,2018-02-14,2018,7,2,es,Talavera de la Reina,Toledo,21.0,1,8,1,8,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8227,2018-08-06,2018,32,8,es,Talavera de la Reina,Toledo,20.0,2,8,2,7,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
4475,2019-02-14,2019,7,2,es,Talavera de la Reina,Valdepeñas,8.0,2,3,2,3,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8380,2019-02-14,2019,7,2,es,Talavera de la Reina,Toledo,52.0,9,20,6,19,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
9951,2019-02-14,2019,7,2,es,Talavera de la Reina,Manzanares,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
11405,2019-02-14,2019,7,2,es,Talavera de la Reina,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8164,2018-05-21,2018,21,5,es,Talavera de la Reina,Toledo,31.0,5,13,5,12,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
2026,2018-08-22,2018,34,8,es,Talavera de la Reina,Albacete,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8463,2019-05-21,2019,21,5,es,Talavera de la Reina,Toledo,15.0,2,6,2,6,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
18340,2019-05-21,2019,21,5,es,Talavera de la Reina,Alcázar de San Juan,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
2001,2018-05-04,2018,18,5,es,Talavera de la Reina,Albacete,8.0,2,3,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8151,2018-05-04,2018,18,5,es,Talavera de la Reina,Toledo,41.0,7,17,4,17,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11298,2018-05-04,2018,18,5,es,Talavera de la Reina,Ciudad Real,14.0,3,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8244,2018-09-08,2018,36,9,es,Talavera de la Reina,Toledo,11.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
19764,2018-09-08,2018,36,9,es,Talavera de la Reina,Puertollano,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8536,2019-09-08,2019,36,9,es,Talavera de la Reina,Toledo,25.0,1,9,1,9,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
15485,2019-09-08,2019,36,9,es,Talavera de la Reina,Cuenca,2.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Cuenca,No
2028,2018-08-31,2018,35,8,es,Talavera de la Reina,Albacete,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8239,2018-08-31,2018,35,8,es,Talavera de la Reina,Toledo,49.0,2,19,2,19,3,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11334,2018-08-31,2018,35,8,es,Talavera de la Reina,Ciudad Real,16.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
2128,2019-08-25,2019,34,8,es,Talavera de la Reina,Albacete,4.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8526,2019-08-25,2019,34,8,es,Talavera de la Reina,Toledo,39.0,1,16,1,14,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8060,2017-12-28,2017,52,12,es,Talavera de la Reina,Toledo,12.0,1,4,1,4,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8244,2018-09-08,2018,36,9,es,Talavera de la Reina,Toledo,11.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
19764,2018-09-08,2018,36,9,es,Talavera de la Reina,Puertollano,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
4470,2018-12-28,2018,52,12,es,Talavera de la Reina,Valdepeñas,4.0,1,2,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8536,2019-09-08,2019,36,9,es,Talavera de la Reina,Toledo,25.0,1,9,1,9,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
15485,2019-09-08,2019,36,9,es,Talavera de la Reina,Cuenca,2.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Cuenca,No
8225,2018-08-03,2018,31,8,es,Talavera de la Reina,Toledo,23.0,3,10,3,10,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8244,2018-09-08,2018,36,9,es,Talavera de la Reina,Toledo,11.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
19764,2018-09-08,2018,36,9,es,Talavera de la Reina,Puertollano,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8536,2019-09-08,2019,36,9,es,Talavera de la Reina,Toledo,25.0,1,9,1,9,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
15485,2019-09-08,2019,36,9,es,Talavera de la Reina,Cuenca,2.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Cuenca,No
4455,2018-06-01,2018,22,6,es,Talavera de la Reina,Valdepeñas,2.0,2,2,2,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
11310,2018-06-01,2018,22,6,es,Talavera de la Reina,Ciudad Real,7.0,2,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
15933,2018-06-01,2018,22,6,es,Talavera de la Reina,Argamasilla de Alba,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
4461,2018-09-21,2018,38,9,es,Talavera de la Reina,Valdepeñas,5.0,1,2,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8254,2018-09-21,2018,38,9,es,Talavera de la Reina,Toledo,41.0,1,18,1,17,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11340,2018-09-21,2018,38,9,es,Talavera de la Reina,Ciudad Real,6.0,3,3,2,3,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
20474,2018-09-21,2018,38,9,es,Talavera de la Reina,Villarta de San Juan,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8472,2019-06-01,2019,22,6,es,Talavera de la Reina,Toledo,17.0,2,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8548,2019-09-21,2019,38,9,es,Talavera de la Reina,Toledo,17.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8119,2018-03-19,2018,12,3,es,Talavera de la Reina,Toledo,30.0,2,12,2,11,2,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11281,2018-03-19,2018,12,3,es,Talavera de la Reina,Ciudad Real,8.0,1,3,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8244,2018-09-08,2018,36,9,es,Talavera de la Reina,Toledo,11.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
19764,2018-09-08,2018,36,9,es,Talavera de la Reina,Puertollano,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8412,2019-03-19,2019,12,3,es,Talavera de la Reina,Toledo,20.0,1,9,1,9,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
8536,2019-09-08,2019,36,9,es,Talavera de la Reina,Toledo,25.0,1,9,1,9,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
15485,2019-09-08,2019,36,9,es,Talavera de la Reina,Cuenca,2.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Cuenca,No
8146,2018-04-25,2018,17,4,es,Talavera de la Reina,Toledo,18.0,1,8,1,8,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11295,2018-04-25,2018,17,4,es,Talavera de la Reina,Ciudad Real,3.0,3,2,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
2002,2018-05-15,2018,20,5,es,Talavera de la Reina,Albacete,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8159,2018-05-15,2018,20,5,es,Talavera de la Reina,Toledo,19.0,3,7,2,7,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
268,2019-04-25,2019,17,4,es,Talavera de la Reina,Guadalajara,4.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Guadalajara,No
8442,2019-04-25,2019,17,4,es,Talavera de la Reina,Toledo,34.0,2,14,1,14,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11431,2019-04-25,2019,17,4,es,Talavera de la Reina,Ciudad Real,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8244,2018-09-08,2018,36,9,es,Talavera de la Reina,Toledo,11.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
19764,2018-09-08,2018,36,9,es,Talavera de la Reina,Puertollano,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
2036,2018-09-14,2018,37,9,es,Talavera de la Reina,Albacete,13.0,1,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
8248,2018-09-14,2018,37,9,es,Talavera de la Reina,Toledo,76.0,6,33,5,33,1,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
11339,2018-09-14,2018,37,9,es,Talavera de la Reina,Ciudad Real,1.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
16065,2018-09-14,2018,37,9,es,Talavera de la Reina,La Solana,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
18305,2018-09-14,2018,37,9,es,Talavera de la Reina,Alcázar de San Juan,4.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
19485,2018-09-14,2018,37,9,es,Talavera de la Reina,La Roda,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Albacete,No
19590,2018-09-14,2018,37,9,es,Talavera de la Reina,Campo de Criptana,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
20045,2018-09-14,2018,37,9,es,Talavera de la Reina,Daimiel,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Ciudad Real,No
8536,2019-09-08,2019,36,9,es,Talavera de la Reina,Toledo,25.0,1,9,1,9,0,Castilla-La Mancha,Castilla-La Mancha,Toledo,Toledo,Si
