,DIA,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,INTERPROVINCIAL
671617,01/11/2017,es,Algeciras,Córdoba,6.0,2,3,2,3,0,Andalucía,Andalucía,No
827757,01/11/2017,es,Algeciras,Cádiz,11.0,1,4,1,3,0,Andalucía,Andalucía,Si
870345,01/11/2017,es,Algeciras,Huelva,1.0,1,1,1,1,0,Andalucía,Andalucía,No
995620,01/11/2017,es,Algeciras,Alhendín,3.0,3,1,1,1,0,Andalucía,Andalucía,No
286123,06/12/2017,es,Algeciras,Granada,39.0,18,16,8,16,1,Andalucía,Andalucía,No
368589,06/12/2017,es,Algeciras,Sevilla,52.0,11,20,5,18,0,Andalucía,Andalucía,No
454969,06/12/2017,es,Algeciras,Jerez de la Frontera,30.0,10,12,6,12,1,Andalucía,Andalucía,Si
560194,06/12/2017,es,Algeciras,Málaga,77.0,18,28,9,28,2,Andalucía,Andalucía,No
650873,06/12/2017,es,Algeciras,Jaén,2.0,1,3,1,3,1,Andalucía,Andalucía,No
827790,06/12/2017,es,Algeciras,Cádiz,12.0,2,4,1,4,0,Andalucía,Andalucía,Si
870356,06/12/2017,es,Algeciras,Huelva,3.0,1,1,1,1,0,Andalucía,Andalucía,No
895885,06/12/2017,es,Algeciras,Dos Hermanas,3.0,2,1,1,1,0,Andalucía,Andalucía,No
286125,08/12/2017,es,Algeciras,Granada,47.0,14,23,7,21,0,Andalucía,Andalucía,No
368591,08/12/2017,es,Algeciras,Sevilla,48.0,9,23,8,22,1,Andalucía,Andalucía,No
454971,08/12/2017,es,Algeciras,Jerez de la Frontera,10.0,2,6,2,6,0,Andalucía,Andalucía,Si
560196,08/12/2017,es,Algeciras,Málaga,93.0,25,37,15,34,0,Andalucía,Andalucía,No
650875,08/12/2017,es,Algeciras,Jaén,6.0,2,2,1,2,0,Andalucía,Andalucía,No
782466,08/12/2017,es,Algeciras,Almería,10.0,1,4,1,3,1,Andalucía,Andalucía,No
827792,08/12/2017,es,Algeciras,Cádiz,16.0,1,6,1,6,0,Andalucía,Andalucía,Si
870357,08/12/2017,es,Algeciras,Huelva,6.0,1,3,1,2,0,Andalucía,Andalucía,No
891692,08/12/2017,es,Algeciras,Fuengirola,3.0,2,1,1,1,0,Andalucía,Andalucía,No
937531,08/12/2017,es,Algeciras,Estepona,10.0,1,5,1,4,0,Andalucía,Andalucía,No
988185,08/12/2017,es,Algeciras,Cabra,3.0,1,1,1,1,0,Andalucía,Andalucía,No
286142,25/12/2017,es,Algeciras,Granada,49.0,7,19,5,17,1,Andalucía,Andalucía,No
368608,25/12/2017,es,Algeciras,Sevilla,51.0,27,23,12,23,2,Andalucía,Andalucía,No
454988,25/12/2017,es,Algeciras,Jerez de la Frontera,19.0,3,9,3,9,2,Andalucía,Andalucía,Si
560213,25/12/2017,es,Algeciras,Málaga,73.0,29,28,13,26,1,Andalucía,Andalucía,No
782472,25/12/2017,es,Algeciras,Almería,3.0,3,1,1,1,1,Andalucía,Andalucía,No
827806,25/12/2017,es,Algeciras,Cádiz,18.0,4,7,3,7,0,Andalucía,Andalucía,Si
884609,25/12/2017,es,Algeciras,Puerto Real,2.0,2,1,1,1,0,Andalucía,Andalucía,Si
286149,01/01/2018,es,Algeciras,Granada,19.0,6,10,4,10,0,Andalucía,Andalucía,No
368615,01/01/2018,es,Algeciras,Sevilla,40.0,18,23,11,23,0,Andalucía,Andalucía,No
454995,01/01/2018,es,Algeciras,Jerez de la Frontera,18.0,1,7,1,7,0,Andalucía,Andalucía,Si
521773,01/01/2018,es,Algeciras,Marbella,6.0,1,4,1,4,1,Andalucía,Andalucía,No
560220,01/01/2018,es,Algeciras,Málaga,62.0,34,29,17,28,1,Andalucía,Andalucía,No
650884,01/01/2018,es,Algeciras,Jaén,5.0,1,3,1,3,0,Andalucía,Andalucía,No
671640,01/01/2018,es,Algeciras,Córdoba,6.0,1,4,1,4,0,Andalucía,Andalucía,No
782476,01/01/2018,es,Algeciras,Almería,4.0,4,1,1,1,0,Andalucía,Andalucía,No
827812,01/01/2018,es,Algeciras,Cádiz,9.0,2,4,1,4,0,Andalucía,Andalucía,Si
286154,06/01/2018,es,Algeciras,Granada,27.0,10,13,6,13,0,Andalucía,Andalucía,No
368620,06/01/2018,es,Algeciras,Sevilla,40.0,17,20,10,20,1,Andalucía,Andalucía,No
455000,06/01/2018,es,Algeciras,Jerez de la Frontera,19.0,2,7,2,7,2,Andalucía,Andalucía,Si
521775,06/01/2018,es,Algeciras,Marbella,9.0,1,4,1,3,0,Andalucía,Andalucía,No
560225,06/01/2018,es,Algeciras,Málaga,62.0,17,25,9,25,1,Andalucía,Andalucía,No
669527,06/01/2018,es,Algeciras,Baeza,3.0,1,1,1,1,0,Andalucía,Andalucía,No
690228,06/01/2018,es,Algeciras,Chiclana de la Frontera,5.0,1,2,1,2,0,Andalucía,Andalucía,Si
827816,06/01/2018,es,Algeciras,Cádiz,13.0,3,4,2,4,0,Andalucía,Andalucía,Si
870367,06/01/2018,es,Algeciras,Huelva,4.0,2,2,1,2,0,Andalucía,Andalucía,No
895887,06/01/2018,es,Algeciras,Dos Hermanas,6.0,2,2,2,2,1,Andalucía,Andalucía,No
286236,29/03/2018,es,Algeciras,Granada,36.0,16,16,7,16,1,Andalucía,Andalucía,No
368702,29/03/2018,es,Algeciras,Sevilla,43.0,11,19,7,19,0,Andalucía,Andalucía,No
455080,29/03/2018,es,Algeciras,Jerez de la Frontera,38.0,3,13,3,13,0,Andalucía,Andalucía,Si
521816,29/03/2018,es,Algeciras,Marbella,11.0,2,5,1,5,1,Andalucía,Andalucía,No
560307,29/03/2018,es,Algeciras,Málaga,69.0,21,31,10,29,2,Andalucía,Andalucía,No
782508,29/03/2018,es,Algeciras,Almería,6.0,2,3,1,3,0,Andalucía,Andalucía,No
854069,29/03/2018,es,Algeciras,Écija,4.0,2,1,1,1,0,Andalucía,Andalucía,No
895895,29/03/2018,es,Algeciras,Dos Hermanas,8.0,1,4,1,4,0,Andalucía,Andalucía,No
286237,30/03/2018,es,Algeciras,Granada,15.0,6,7,4,7,0,Andalucía,Andalucía,No
368703,30/03/2018,es,Algeciras,Sevilla,29.0,12,11,6,10,1,Andalucía,Andalucía,No
560308,30/03/2018,es,Algeciras,Málaga,55.0,24,24,10,21,2,Andalucía,Andalucía,No
650905,30/03/2018,es,Algeciras,Jaén,2.0,2,2,1,1,0,Andalucía,Andalucía,No
671675,30/03/2018,es,Algeciras,Córdoba,3.0,1,1,1,1,0,Andalucía,Andalucía,No
782509,30/03/2018,es,Algeciras,Almería,8.0,5,3,2,3,0,Andalucía,Andalucía,No
808065,30/03/2018,es,Algeciras,Torremolinos,1.0,1,1,1,1,0,Andalucía,Andalucía,No
891706,30/03/2018,es,Algeciras,Fuengirola,3.0,1,2,1,2,1,Andalucía,Andalucía,No
997322,30/03/2018,es,Algeciras,Rota,1.0,1,1,1,1,0,Andalucía,Andalucía,Si
286269,01/05/2018,es,Algeciras,Granada,61.0,45,34,23,30,0,Andalucía,Andalucía,No
368735,01/05/2018,es,Algeciras,Sevilla,84.0,40,38,20,35,0,Andalucía,Andalucía,No
455112,01/05/2018,es,Algeciras,Jerez de la Frontera,28.0,4,13,2,12,0,Andalucía,Andalucía,Si
560340,01/05/2018,es,Algeciras,Málaga,60.0,24,37,13,35,0,Andalucía,Andalucía,No
650915,01/05/2018,es,Algeciras,Jaén,7.0,1,6,1,5,0,Andalucía,Andalucía,No
671688,01/05/2018,es,Algeciras,Córdoba,7.0,4,3,2,3,0,Andalucía,Andalucía,No
782520,01/05/2018,es,Algeciras,Almería,11.0,1,6,1,6,0,Andalucía,Andalucía,No
827924,01/05/2018,es,Algeciras,Cádiz,25.0,5,11,4,10,0,Andalucía,Andalucía,Si
870407,01/05/2018,es,Algeciras,Huelva,11.0,3,5,2,5,0,Andalucía,Andalucía,No
884645,01/05/2018,es,Algeciras,Puerto Real,14.0,6,8,3,8,0,Andalucía,Andalucía,Si
1002225,01/05/2018,es,Algeciras,Padul,3.0,3,1,1,1,0,Andalucía,Andalucía,No
286374,15/08/2018,es,Algeciras,Granada,24.0,6,14,3,13,0,Andalucía,Andalucía,No
368841,15/08/2018,es,Algeciras,Sevilla,43.0,28,18,13,18,0,Andalucía,Andalucía,No
455218,15/08/2018,es,Algeciras,Jerez de la Frontera,40.0,11,16,5,15,2,Andalucía,Andalucía,Si
560446,15/08/2018,es,Algeciras,Málaga,63.0,30,33,14,33,0,Andalucía,Andalucía,No
690264,15/08/2018,es,Algeciras,Chiclana de la Frontera,3.0,1,3,1,2,1,Andalucía,Andalucía,Si
782558,15/08/2018,es,Algeciras,Almería,15.0,1,5,1,5,1,Andalucía,Andalucía,No
808098,15/08/2018,es,Algeciras,Torremolinos,8.0,2,3,1,3,0,Andalucía,Andalucía,No
828020,15/08/2018,es,Algeciras,Cádiz,12.0,3,6,2,6,0,Andalucía,Andalucía,Si
908457,15/08/2018,es,Algeciras,Roquetas de Mar,8.0,2,3,1,3,0,Andalucía,Andalucía,No
937572,15/08/2018,es,Algeciras,Estepona,22.0,2,11,1,11,0,Andalucía,Andalucía,No
286430,12/10/2018,es,Algeciras,Granada,51.0,12,23,9,22,0,Andalucía,Andalucía,No
368899,12/10/2018,es,Algeciras,Sevilla,69.0,24,26,11,25,1,Andalucía,Andalucía,No
455276,12/10/2018,es,Algeciras,Jerez de la Frontera,26.0,1,12,1,12,0,Andalucía,Andalucía,Si
521924,12/10/2018,es,Algeciras,Marbella,31.0,1,14,1,13,1,Andalucía,Andalucía,No
552435,12/10/2018,es,Algeciras,San Fernando,5.0,1,2,1,2,1,Andalucía,Andalucía,Si
560504,12/10/2018,es,Algeciras,Málaga,85.0,31,37,18,37,5,Andalucía,Andalucía,No
650984,12/10/2018,es,Algeciras,Jaén,5.0,1,3,1,3,0,Andalucía,Andalucía,No
778808,12/10/2018,es,Algeciras,Úbeda,2.0,2,1,1,1,0,Andalucía,Andalucía,No
828072,12/10/2018,es,Algeciras,Cádiz,17.0,6,9,5,9,1,Andalucía,Andalucía,Si
877584,12/10/2018,es,Algeciras,Mijas,3.0,1,2,1,2,0,Andalucía,Andalucía,No
891756,12/10/2018,es,Algeciras,Fuengirola,14.0,1,4,1,3,0,Andalucía,Andalucía,No
286450,01/11/2018,es,Algeciras,Granada,26.0,17,14,9,13,0,Andalucía,Andalucía,No
368919,01/11/2018,es,Algeciras,Sevilla,61.0,27,25,16,25,0,Andalucía,Andalucía,No
455295,01/11/2018,es,Algeciras,Jerez de la Frontera,40.0,10,16,5,14,0,Andalucía,Andalucía,Si
521936,01/11/2018,es,Algeciras,Marbella,18.0,2,10,1,10,0,Andalucía,Andalucía,No
552440,01/11/2018,es,Algeciras,San Fernando,4.0,2,2,1,2,0,Andalucía,Andalucía,Si
560524,01/11/2018,es,Algeciras,Málaga,55.0,24,24,12,24,1,Andalucía,Andalucía,No
650991,01/11/2018,es,Algeciras,Jaén,3.0,2,1,1,1,0,Andalucía,Andalucía,No
671766,01/11/2018,es,Algeciras,Córdoba,3.0,3,2,2,2,0,Andalucía,Andalucía,No
782584,01/11/2018,es,Algeciras,Almería,4.0,1,3,1,3,0,Andalucía,Andalucía,No
808118,01/11/2018,es,Algeciras,Torremolinos,2.0,1,2,1,2,0,Andalucía,Andalucía,No
828090,01/11/2018,es,Algeciras,Cádiz,8.0,1,3,1,3,0,Andalucía,Andalucía,Si
870473,01/11/2018,es,Algeciras,Huelva,3.0,1,3,1,3,0,Andalucía,Andalucía,No
884720,01/11/2018,es,Algeciras,Puerto Real,3.0,1,1,1,1,0,Andalucía,Andalucía,Si
925213,01/11/2018,es,Algeciras,El Ejido,2.0,1,1,1,1,0,Andalucía,Andalucía,No
937592,01/11/2018,es,Algeciras,Estepona,6.0,1,5,1,4,0,Andalucía,Andalucía,No
286485,06/12/2018,es,Algeciras,Granada,32.0,18,15,9,15,1,Andalucía,Andalucía,No
368954,06/12/2018,es,Algeciras,Sevilla,70.0,24,24,12,23,1,Andalucía,Andalucía,No
455329,06/12/2018,es,Algeciras,Jerez de la Frontera,24.0,2,11,1,11,0,Andalucía,Andalucía,Si
552451,06/12/2018,es,Algeciras,San Fernando,16.0,2,6,2,6,0,Andalucía,Andalucía,Si
560559,06/12/2018,es,Algeciras,Málaga,68.0,28,28,14,25,1,Andalucía,Andalucía,No
671783,06/12/2018,es,Algeciras,Córdoba,4.0,1,2,1,2,0,Andalucía,Andalucía,No
828121,06/12/2018,es,Algeciras,Cádiz,8.0,1,3,1,3,0,Andalucía,Andalucía,Si
895931,06/12/2018,es,Algeciras,Dos Hermanas,3.0,1,1,1,1,0,Andalucía,Andalucía,No
995988,06/12/2018,es,Algeciras,Sanlúcar de Barrameda,4.0,1,1,1,1,0,Andalucía,Andalucía,Si
1001904,06/12/2018,es,Algeciras,San Juan de Aznalfarache,3.0,2,1,1,1,1,Andalucía,Andalucía,No
286487,08/12/2018,es,Algeciras,Granada,13.0,4,8,3,8,0,Andalucía,Andalucía,No
368956,08/12/2018,es,Algeciras,Sevilla,33.0,24,12,11,12,1,Andalucía,Andalucía,No
455331,08/12/2018,es,Algeciras,Jerez de la Frontera,31.0,9,11,4,9,0,Andalucía,Andalucía,Si
560561,08/12/2018,es,Algeciras,Málaga,45.0,17,20,8,20,0,Andalucía,Andalucía,No
828123,08/12/2018,es,Algeciras,Cádiz,26.0,4,10,3,9,0,Andalucía,Andalucía,Si
884738,08/12/2018,es,Algeciras,Puerto Real,14.0,1,7,1,6,0,Andalucía,Andalucía,Si
937599,08/12/2018,es,Algeciras,Estepona,11.0,2,5,1,5,0,Andalucía,Andalucía,No
286504,25/12/2018,es,Algeciras,Granada,36.0,15,15,9,15,2,Andalucía,Andalucía,No
368973,25/12/2018,es,Algeciras,Sevilla,61.0,26,26,12,23,2,Andalucía,Andalucía,No
455347,25/12/2018,es,Algeciras,Jerez de la Frontera,23.0,4,9,2,9,0,Andalucía,Andalucía,Si
552459,25/12/2018,es,Algeciras,San Fernando,9.0,1,4,1,4,1,Andalucía,Andalucía,Si
560578,25/12/2018,es,Algeciras,Málaga,73.0,23,29,11,28,3,Andalucía,Andalucía,No
828139,25/12/2018,es,Algeciras,Cádiz,18.0,1,7,1,6,0,Andalucía,Andalucía,Si
891768,25/12/2018,es,Algeciras,Fuengirola,4.0,1,2,1,2,0,Andalucía,Andalucía,No
1005538,25/12/2018,es,Algeciras,Salobreña,1.0,1,1,1,1,0,Andalucía,Andalucía,No
286511,01/01/2019,es,Algeciras,Granada,25.0,9,12,4,11,0,Andalucía,Andalucía,No
368980,01/01/2019,es,Algeciras,Sevilla,85.0,29,35,15,34,0,Andalucía,Andalucía,No
455354,01/01/2019,es,Algeciras,Jerez de la Frontera,19.0,5,9,3,9,0,Andalucía,Andalucía,Si
512465,01/01/2019,es,Algeciras,El Puerto de Santa María,11.0,1,5,1,4,0,Andalucía,Andalucía,No
521970,01/01/2019,es,Algeciras,Marbella,20.0,1,10,1,10,0,Andalucía,Andalucía,No
552463,01/01/2019,es,Algeciras,San Fernando,13.0,1,5,1,4,0,Andalucía,Andalucía,Si
560585,01/01/2019,es,Algeciras,Málaga,57.0,29,23,14,23,0,Andalucía,Andalucía,No
671800,01/01/2019,es,Algeciras,Córdoba,7.0,3,4,2,4,0,Andalucía,Andalucía,No
690297,01/01/2019,es,Algeciras,Chiclana de la Frontera,7.0,1,3,1,2,0,Andalucía,Andalucía,Si
782615,01/01/2019,es,Algeciras,Almería,3.0,2,1,1,1,0,Andalucía,Andalucía,No
808136,01/01/2019,es,Algeciras,Torremolinos,4.0,1,2,1,2,0,Andalucía,Andalucía,No
828145,01/01/2019,es,Algeciras,Cádiz,8.0,1,4,1,3,0,Andalucía,Andalucía,Si
870494,01/01/2019,es,Algeciras,Huelva,3.0,1,2,1,2,0,Andalucía,Andalucía,No
884757,01/01/2019,es,Algeciras,Puerto Real,5.0,4,3,2,3,0,Andalucía,Andalucía,Si
286617,19/04/2019,es,Algeciras,Granada,26.0,11,10,5,10,0,Andalucía,Andalucía,No
369088,19/04/2019,es,Algeciras,Sevilla,33.0,11,15,7,14,2,Andalucía,Andalucía,No
455462,19/04/2019,es,Algeciras,Jerez de la Frontera,26.0,5,11,3,10,4,Andalucía,Andalucía,Si
560693,19/04/2019,es,Algeciras,Málaga,57.0,24,31,12,28,1,Andalucía,Andalucía,No
690324,19/04/2019,es,Algeciras,Chiclana de la Frontera,12.0,1,6,1,5,1,Andalucía,Andalucía,Si
808171,19/04/2019,es,Algeciras,Torremolinos,10.0,2,3,1,3,0,Andalucía,Andalucía,No
828249,19/04/2019,es,Algeciras,Cádiz,22.0,3,8,2,6,2,Andalucía,Andalucía,Si
835993,19/04/2019,es,Algeciras,La Carolina,1.0,1,1,1,1,0,Andalucía,Andalucía,No
853593,19/04/2019,es,Algeciras,Pulianas,2.0,2,1,1,1,0,Andalucía,Andalucía,No
869749,19/04/2019,es,Algeciras,Níjar,1.0,1,1,1,1,0,Andalucía,Andalucía,No
870548,19/04/2019,es,Algeciras,Huelva,4.0,1,2,1,2,0,Andalucía,Andalucía,No
895956,19/04/2019,es,Algeciras,Dos Hermanas,1.0,1,2,1,2,0,Andalucía,Andalucía,No
286629,01/05/2019,es,Algeciras,Granada,12.0,7,7,3,7,0,Andalucía,Andalucía,No
369100,01/05/2019,es,Algeciras,Sevilla,35.0,20,14,8,14,0,Andalucía,Andalucía,No
455474,01/05/2019,es,Algeciras,Jerez de la Frontera,29.0,7,12,4,12,0,Andalucía,Andalucía,Si
522047,01/05/2019,es,Algeciras,Marbella,18.0,1,8,1,8,0,Andalucía,Andalucía,No
552526,01/05/2019,es,Algeciras,San Fernando,9.0,2,3,1,3,0,Andalucía,Andalucía,Si
560705,01/05/2019,es,Algeciras,Málaga,44.0,10,19,6,18,0,Andalucía,Andalucía,No
651057,01/05/2019,es,Algeciras,Jaén,2.0,2,2,1,2,0,Andalucía,Andalucía,No
671869,01/05/2019,es,Algeciras,Córdoba,2.0,1,1,1,1,0,Andalucía,Andalucía,No
768778,01/05/2019,es,Algeciras,Antequera,2.0,1,1,1,1,0,Andalucía,Andalucía,No
828261,01/05/2019,es,Algeciras,Cádiz,33.0,9,11,5,10,0,Andalucía,Andalucía,Si
870552,01/05/2019,es,Algeciras,Huelva,1.0,1,2,1,2,0,Andalucía,Andalucía,No
891785,01/05/2019,es,Algeciras,Fuengirola,16.0,3,6,1,6,0,Andalucía,Andalucía,No
1005221,01/05/2019,es,Algeciras,Las Cabezas de San Juan,3.0,3,1,1,1,0,Andalucía,Andalucía,No
1006019,01/05/2019,es,Algeciras,Frigiliana,1.0,1,1,1,1,0,Andalucía,Andalucía,No
286735,15/08/2019,es,Algeciras,Granada,13.0,5,12,3,11,1,Andalucía,Andalucía,No
369206,15/08/2019,es,Algeciras,Sevilla,24.0,10,12,5,12,1,Andalucía,Andalucía,No
455580,15/08/2019,es,Algeciras,Jerez de la Frontera,34.0,10,14,7,13,1,Andalucía,Andalucía,Si
512598,15/08/2019,es,Algeciras,El Puerto de Santa María,6.0,6,2,2,2,0,Andalucía,Andalucía,No
522120,15/08/2019,es,Algeciras,Marbella,28.0,6,24,4,18,2,Andalucía,Andalucía,No
552575,15/08/2019,es,Algeciras,San Fernando,7.0,2,3,2,3,0,Andalucía,Andalucía,Si
560811,15/08/2019,es,Algeciras,Málaga,67.0,32,36,15,32,2,Andalucía,Andalucía,No
778817,15/08/2019,es,Algeciras,Úbeda,2.0,1,2,1,1,0,Andalucía,Andalucía,No
808238,15/08/2019,es,Algeciras,Torremolinos,9.0,1,6,1,5,0,Andalucía,Andalucía,No
828364,15/08/2019,es,Algeciras,Cádiz,17.0,2,7,2,7,0,Andalucía,Andalucía,Si
864210,15/08/2019,es,Algeciras,Benalmádena,1.0,1,1,1,1,1,Andalucía,Andalucía,No
870602,15/08/2019,es,Algeciras,Huelva,6.0,2,2,1,2,0,Andalucía,Andalucía,No
884904,15/08/2019,es,Algeciras,Puerto Real,7.0,3,3,1,3,0,Andalucía,Andalucía,Si
891815,15/08/2019,es,Algeciras,Fuengirola,2.0,1,4,1,4,1,Andalucía,Andalucía,No
895987,15/08/2019,es,Algeciras,Dos Hermanas,4.0,4,1,1,1,0,Andalucía,Andalucía,No
286793,12/10/2019,es,Algeciras,Granada,36.0,5,13,3,12,1,Andalucía,Andalucía,No
369264,12/10/2019,es,Algeciras,Sevilla,43.0,15,17,8,17,0,Andalucía,Andalucía,No
455638,12/10/2019,es,Algeciras,Jerez de la Frontera,36.0,7,14,4,14,0,Andalucía,Andalucía,Si
512641,12/10/2019,es,Algeciras,El Puerto de Santa María,3.0,1,1,1,1,1,Andalucía,Andalucía,No
552612,12/10/2019,es,Algeciras,San Fernando,9.0,1,3,1,3,1,Andalucía,Andalucía,Si
560869,12/10/2019,es,Algeciras,Málaga,86.0,16,38,12,35,2,Andalucía,Andalucía,No
808270,12/10/2019,es,Algeciras,Torremolinos,4.0,3,2,2,2,0,Andalucía,Andalucía,No
828418,12/10/2019,es,Algeciras,Cádiz,23.0,3,9,1,8,1,Andalucía,Andalucía,Si
877700,12/10/2019,es,Algeciras,Mijas,9.0,1,4,1,3,0,Andalucía,Andalucía,No
884940,12/10/2019,es,Algeciras,Puerto Real,11.0,1,4,1,4,0,Andalucía,Andalucía,Si
896009,12/10/2019,es,Algeciras,Dos Hermanas,7.0,3,4,2,4,0,Andalucía,Andalucía,No
937682,12/10/2019,es,Algeciras,Estepona,23.0,2,10,1,9,1,Andalucía,Andalucía,No
286256,18/04/2018,es,Algeciras,Granada,14.0,4,6,2,5,2,Andalucía,Andalucía,No
368722,18/04/2018,es,Algeciras,Sevilla,44.0,21,18,12,17,1,Andalucía,Andalucía,No
455099,18/04/2018,es,Algeciras,Jerez de la Frontera,34.0,4,13,3,13,0,Andalucía,Andalucía,Si
512340,18/04/2018,es,Algeciras,El Puerto de Santa María,8.0,1,3,1,3,0,Andalucía,Andalucía,No
521827,18/04/2018,es,Algeciras,Marbella,8.0,2,4,2,4,2,Andalucía,Andalucía,No
560327,18/04/2018,es,Algeciras,Málaga,55.0,12,23,7,21,4,Andalucía,Andalucía,No
937543,18/04/2018,es,Algeciras,Estepona,14.0,2,8,1,7,2,Andalucía,Andalucía,No
286299,31/05/2018,es,Algeciras,Granada,20.0,7,8,5,8,1,Andalucía,Andalucía,No
368765,31/05/2018,es,Algeciras,Sevilla,44.0,21,17,10,16,3,Andalucía,Andalucía,No
455142,31/05/2018,es,Algeciras,Jerez de la Frontera,45.0,4,20,3,20,3,Andalucía,Andalucía,Si
512361,31/05/2018,es,Algeciras,El Puerto de Santa María,13.0,1,5,1,5,0,Andalucía,Andalucía,No
560370,31/05/2018,es,Algeciras,Málaga,50.0,19,21,10,21,0,Andalucía,Andalucía,No
782531,31/05/2018,es,Algeciras,Almería,2.0,2,2,1,2,0,Andalucía,Andalucía,No
827952,31/05/2018,es,Algeciras,Cádiz,25.0,2,12,1,12,1,Andalucía,Andalucía,Si
884657,31/05/2018,es,Algeciras,Puerto Real,15.0,3,6,2,6,0,Andalucía,Andalucía,Si
286636,08/05/2019,es,Algeciras,Granada,7.0,5,4,4,4,1,Andalucía,Andalucía,No
369107,08/05/2019,es,Algeciras,Sevilla,55.0,15,22,8,22,2,Andalucía,Andalucía,No
455481,08/05/2019,es,Algeciras,Jerez de la Frontera,64.0,8,24,6,20,1,Andalucía,Andalucía,Si
512539,08/05/2019,es,Algeciras,El Puerto de Santa María,29.0,1,10,1,6,0,Andalucía,Andalucía,No
522052,08/05/2019,es,Algeciras,Marbella,16.0,3,10,3,10,0,Andalucía,Andalucía,No
552529,08/05/2019,es,Algeciras,San Fernando,8.0,1,3,1,3,0,Andalucía,Andalucía,Si
560712,08/05/2019,es,Algeciras,Málaga,33.0,15,15,9,15,0,Andalucía,Andalucía,No
828268,08/05/2019,es,Algeciras,Cádiz,17.0,2,7,1,7,0,Andalucía,Andalucía,Si
870556,08/05/2019,es,Algeciras,Huelva,1.0,1,1,1,1,0,Andalucía,Andalucía,No
877639,08/05/2019,es,Algeciras,Mijas,3.0,2,2,1,2,0,Andalucía,Andalucía,No
286679,20/06/2019,es,Algeciras,Granada,17.0,8,6,3,6,0,Andalucía,Andalucía,No
369150,20/06/2019,es,Algeciras,Sevilla,36.0,22,16,10,16,0,Andalucía,Andalucía,No
455524,20/06/2019,es,Algeciras,Jerez de la Frontera,58.0,7,22,6,21,4,Andalucía,Andalucía,Si
512566,20/06/2019,es,Algeciras,El Puerto de Santa María,13.0,1,6,1,6,0,Andalucía,Andalucía,No
560755,20/06/2019,es,Algeciras,Málaga,70.0,16,28,11,28,1,Andalucía,Andalucía,No
782678,20/06/2019,es,Algeciras,Almería,1.0,1,1,1,1,0,Andalucía,Andalucía,No
828309,20/06/2019,es,Algeciras,Cádiz,23.0,3,9,2,8,1,Andalucía,Andalucía,Si
870582,20/06/2019,es,Algeciras,Huelva,1.0,1,2,1,2,0,Andalucía,Andalucía,No
877660,20/06/2019,es,Algeciras,Mijas,1.0,1,1,1,1,0,Andalucía,Andalucía,No
884872,20/06/2019,es,Algeciras,Puerto Real,17.0,3,8,2,8,1,Andalucía,Andalucía,Si
1001588,20/06/2019,es,Algeciras,El Cuervo de Sevilla,1.0,1,1,1,1,1,Andalucía,Andalucía,No
1007890,20/06/2019,es,Algeciras,Tomares,4.0,4,1,1,1,0,Andalucía,Andalucía,No
