,DIA,PAIS,ORIGEN,DESTINO,ASIENTOS_OFERTADOS,ASIENTOS_CONFIRMADOS,VIAJES_OFERTADOS,VIAJES_CONFIRMADOS,OFERTANTES,OFERTANTES_NUEVOS,CA_ORIGEN,CA_DESTINO,PROVINCIA_ORIGEN,PROVINCIA_DESTINO,INTERPROVINCIAL,AÑO,SEMANA,MES
453539,2018-11-02,es,Albacete,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,44,11
453540,2018-02-13,es,Albacete,Guadalajara,11.0,4,4,3,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,7,2
453541,2018-02-16,es,Albacete,Guadalajara,4.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,7,2
453542,2018-02-18,es,Albacete,Guadalajara,22.0,2,12,2,12,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,7,2
453543,2018-04-03,es,Albacete,Guadalajara,7.0,2,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,14,4
453544,2018-03-19,es,Albacete,Guadalajara,5.0,2,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,12,3
453545,2018-02-04,es,Albacete,Guadalajara,13.0,1,6,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,5,2
453546,2018-09-04,es,Albacete,Guadalajara,6.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,36,9
453547,2018-04-23,es,Albacete,Guadalajara,10.0,1,5,1,4,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,17,4
453548,2018-04-29,es,Albacete,Guadalajara,10.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,17,4
453549,2018-01-05,es,Albacete,Guadalajara,10.0,1,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,1,1
453550,2018-07-05,es,Albacete,Guadalajara,4.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,27,7
453551,2018-05-27,es,Albacete,Guadalajara,11.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,21,5
453552,2018-05-29,es,Albacete,Guadalajara,2.0,1,2,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,22,5
453553,2018-07-06,es,Albacete,Guadalajara,4.0,1,2,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,27,7
453554,2018-10-06,es,Albacete,Guadalajara,6.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,40,10
453555,2018-11-06,es,Albacete,Guadalajara,6.0,1,4,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,45,11
453556,2018-12-06,es,Albacete,Guadalajara,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,49,12
453557,2018-06-15,es,Albacete,Guadalajara,8.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,24,6
453558,2018-06-17,es,Albacete,Guadalajara,3.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,24,6
453559,2018-06-18,es,Albacete,Guadalajara,9.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,25,6
453560,2018-06-19,es,Albacete,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,25,6
453561,2018-06-22,es,Albacete,Guadalajara,6.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,25,6
453562,2018-06-24,es,Albacete,Guadalajara,8.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,25,6
453563,2018-06-27,es,Albacete,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,26,6
453564,2018-02-07,es,Albacete,Guadalajara,2.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,6,2
453565,2018-08-07,es,Albacete,Guadalajara,11.0,2,4,1,4,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,32,8
453566,2018-10-07,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,40,10
453567,2018-07-15,es,Albacete,Guadalajara,9.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,28,7
453568,2018-07-16,es,Albacete,Guadalajara,6.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,29,7
453569,2018-07-20,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,29,7
453570,2018-07-22,es,Albacete,Guadalajara,2.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,29,7
453571,2018-07-29,es,Albacete,Guadalajara,2.0,2,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,30,7
453572,2018-07-30,es,Albacete,Guadalajara,6.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,31,7
453573,2018-07-31,es,Albacete,Guadalajara,5.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,31,7
453574,2018-10-08,es,Albacete,Guadalajara,7.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,41,10
453575,2018-08-17,es,Albacete,Guadalajara,7.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,33,8
453576,2018-08-21,es,Albacete,Guadalajara,6.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,34,8
453577,2018-08-23,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,34,8
453578,2018-02-09,es,Albacete,Guadalajara,11.0,1,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,6,2
453579,2018-03-09,es,Albacete,Guadalajara,11.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,10,3
453580,2018-09-09,es,Albacete,Guadalajara,21.0,3,11,3,11,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,36,9
453581,2018-09-14,es,Albacete,Guadalajara,8.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,37,9
453582,2018-09-23,es,Albacete,Guadalajara,15.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,38,9
453583,2018-09-30,es,Albacete,Guadalajara,23.0,3,9,2,9,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,39,9
453584,2018-08-10,es,Albacete,Guadalajara,11.0,3,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,32,8
453585,2018-10-14,es,Albacete,Guadalajara,12.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,41,10
453586,2018-10-15,es,Albacete,Guadalajara,4.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,42,10
453587,2018-10-19,es,Albacete,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,42,10
453588,2018-10-20,es,Albacete,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,42,10
453589,2018-10-21,es,Albacete,Guadalajara,5.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,42,10
453590,2018-10-28,es,Albacete,Guadalajara,18.0,3,7,3,7,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,43,10
453591,2018-10-29,es,Albacete,Guadalajara,17.0,1,7,1,7,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,44,10
453592,2018-05-11,es,Albacete,Guadalajara,7.0,1,4,1,4,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,19,5
453593,2018-07-11,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,28,7
453594,2018-11-11,es,Albacete,Guadalajara,16.0,1,6,1,6,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,45,11
453595,2018-11-18,es,Albacete,Guadalajara,19.0,1,8,1,8,3,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,46,11
453596,2018-11-23,es,Albacete,Guadalajara,12.0,2,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,47,11
453597,2018-11-26,es,Albacete,Guadalajara,13.0,1,5,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,48,11
453598,2018-11-27,es,Albacete,Guadalajara,10.0,1,4,1,4,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,48,11
453599,2018-11-30,es,Albacete,Guadalajara,13.0,1,5,1,4,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,48,11
453600,2018-02-12,es,Albacete,Guadalajara,12.0,1,7,1,7,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,7,2
453601,2018-10-12,es,Albacete,Guadalajara,6.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,41,10
453602,2018-11-12,es,Albacete,Guadalajara,10.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,46,11
453603,2018-12-13,es,Albacete,Guadalajara,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,50,12
453604,2018-12-14,es,Albacete,Guadalajara,3.0,1,1,1,1,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,50,12
453605,2018-12-17,es,Albacete,Guadalajara,13.0,1,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,51,12
453606,2018-12-21,es,Albacete,Guadalajara,12.0,1,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,51,12
453607,2018-12-23,es,Albacete,Guadalajara,3.0,3,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,51,12
453608,2018-12-24,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,52,12
453609,2018-12-26,es,Albacete,Guadalajara,7.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2018,52,12
453610,2019-01-01,es,Albacete,Guadalajara,4.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,1,1
453611,2019-02-01,es,Albacete,Guadalajara,8.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,5,2
453612,2019-05-01,es,Albacete,Guadalajara,3.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,18,5
453613,2019-01-20,es,Albacete,Guadalajara,11.0,3,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,3,1
453614,2019-01-21,es,Albacete,Guadalajara,15.0,1,6,1,6,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,4,1
453615,2019-01-23,es,Albacete,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,4,1
453616,2019-01-27,es,Albacete,Guadalajara,7.0,2,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,4,1
453617,2019-03-02,es,Albacete,Guadalajara,23.0,5,8,2,7,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,9,3
453618,2019-11-02,es,Albacete,Guadalajara,21.0,2,9,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,44,11
453619,2019-12-02,es,Albacete,Guadalajara,10.0,1,4,1,4,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,49,12
453620,2019-02-14,es,Albacete,Guadalajara,6.0,1,2,1,2,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,7,2
453621,2019-02-17,es,Albacete,Guadalajara,14.0,3,5,2,5,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,7,2
453622,2019-02-20,es,Albacete,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,8,2
453623,2019-02-24,es,Albacete,Guadalajara,10.0,2,5,2,5,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,8,2
453624,2019-01-03,es,Albacete,Guadalajara,6.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,1,1
453625,2019-08-03,es,Albacete,Guadalajara,4.0,1,2,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,31,8
453626,2019-10-03,es,Albacete,Guadalajara,18.0,1,7,1,7,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,40,10
453627,2019-03-22,es,Albacete,Guadalajara,9.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,12,3
453628,2019-03-29,es,Albacete,Guadalajara,5.0,1,2,1,2,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,13,3
453629,2019-03-31,es,Albacete,Guadalajara,20.0,1,8,1,8,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,13,3
453630,2019-08-04,es,Albacete,Guadalajara,8.0,1,4,1,4,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,31,8
453631,2019-04-14,es,Albacete,Guadalajara,5.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,15,4
453632,2019-04-20,es,Albacete,Guadalajara,4.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,16,4
453633,2019-04-22,es,Albacete,Guadalajara,7.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,17,4
453634,2019-04-23,es,Albacete,Guadalajara,5.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,17,4
453635,2019-04-28,es,Albacete,Guadalajara,14.0,1,6,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,17,4
453636,2019-04-29,es,Albacete,Guadalajara,13.0,2,5,2,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,18,4
453637,2019-05-05,es,Albacete,Guadalajara,11.0,2,4,2,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,18,5
453638,2019-11-05,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,45,11
453639,2019-05-16,es,Albacete,Guadalajara,6.0,1,2,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,20,5
453640,2019-05-17,es,Albacete,Guadalajara,7.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,20,5
453641,2019-05-20,es,Albacete,Guadalajara,12.0,1,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,21,5
453642,2019-05-23,es,Albacete,Guadalajara,3.0,3,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,21,5
453643,2019-05-25,es,Albacete,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,21,5
453644,2019-02-06,es,Albacete,Guadalajara,9.0,2,5,2,5,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,6,2
453645,2019-07-06,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,27,7
453646,2019-12-06,es,Albacete,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,49,12
453647,2019-06-24,es,Albacete,Guadalajara,6.0,3,3,2,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,26,6
453648,2019-01-07,es,Albacete,Guadalajara,23.0,1,8,1,8,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,2,1
453649,2019-05-07,es,Albacete,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,19,5
453650,2019-07-07,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,27,7
453651,2019-07-23,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,30,7
453652,2019-07-30,es,Albacete,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,31,7
453653,2019-05-08,es,Albacete,Guadalajara,9.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,19,5
453654,2019-12-08,es,Albacete,Guadalajara,5.0,1,3,1,3,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,49,12
453655,2019-08-25,es,Albacete,Guadalajara,9.0,1,4,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,34,8
453656,2019-08-30,es,Albacete,Guadalajara,6.0,1,2,1,2,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,35,8
453657,2019-01-09,es,Albacete,Guadalajara,22.0,2,8,2,8,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,2,1
453658,2019-06-09,es,Albacete,Guadalajara,7.0,2,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,23,6
453659,2019-08-09,es,Albacete,Guadalajara,20.0,2,7,1,7,2,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,32,8
453660,2019-09-15,es,Albacete,Guadalajara,13.0,2,5,1,5,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,37,9
453661,2019-09-22,es,Albacete,Guadalajara,13.0,1,6,1,6,1,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,38,9
453662,2019-09-27,es,Albacete,Guadalajara,5.0,2,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,39,9
453663,2019-10-15,es,Albacete,Guadalajara,9.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,42,10
453664,2019-10-29,es,Albacete,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,44,10
453665,2019-10-31,es,Albacete,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Albacete,Guadalajara,No,2019,44,10
453667,2018-09-16,es,Alcázar de San Juan,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,37,9
453668,2018-04-11,es,Alcázar de San Juan,Guadalajara,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,15,4
453800,2017-11-19,es,Ciudad Real,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2017,46,11
453801,2018-07-01,es,Ciudad Real,Guadalajara,4.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,26,7
453802,2018-03-18,es,Ciudad Real,Guadalajara,4.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,11,3
453803,2018-01-04,es,Ciudad Real,Guadalajara,8.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,1,1
453804,2018-02-04,es,Ciudad Real,Guadalajara,5.0,2,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,5,2
453805,2018-08-04,es,Ciudad Real,Guadalajara,6.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,31,8
453806,2018-04-13,es,Ciudad Real,Guadalajara,5.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,15,4
453807,2018-05-14,es,Ciudad Real,Guadalajara,4.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,20,5
453808,2018-05-20,es,Ciudad Real,Guadalajara,4.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,20,5
453809,2018-10-06,es,Ciudad Real,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,40,10
453810,2018-06-17,es,Ciudad Real,Guadalajara,4.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,24,6
453811,2018-05-07,es,Ciudad Real,Guadalajara,3.0,1,2,1,2,2,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,19,5
453812,2018-02-09,es,Ciudad Real,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,6,2
453813,2018-09-16,es,Ciudad Real,Guadalajara,7.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,37,9
453814,2018-09-17,es,Ciudad Real,Guadalajara,3.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,38,9
453815,2018-10-14,es,Ciudad Real,Guadalajara,9.0,2,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,41,10
453816,2018-10-22,es,Ciudad Real,Guadalajara,5.0,1,3,1,3,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,43,10
453817,2018-04-11,es,Ciudad Real,Guadalajara,11.0,1,5,1,5,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,15,4
453818,2018-11-19,es,Ciudad Real,Guadalajara,1.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,47,11
453819,2018-09-12,es,Ciudad Real,Guadalajara,4.0,2,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,37,9
453820,2018-12-16,es,Ciudad Real,Guadalajara,6.0,1,2,1,2,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2018,50,12
453821,2019-07-01,es,Ciudad Real,Guadalajara,12.0,1,5,1,4,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2019,27,7
453822,2019-01-14,es,Ciudad Real,Guadalajara,2.0,1,1,1,1,0,Castilla-La Mancha,Castilla-La Mancha,Ciudad Real,Guadalajara,No,2019,3,1
